"GR","NPHI","RHOB","RT","PHIE"
118.89,0.2677,2.223,1.42,0.208635
129.79,0.268,2.226,1.42,0.179816
121.6,0.2574,2.257,1.48,0.224275
119.38,0.2556,2.267,1.48,0.214981
107.78,0.2538,2.256,1.56,0.227727
111.32,0.2536,2.26,1.56,0.223936
129.8,0.2549,2.279,1.56,0.201272
125.39,0.2565,2.273,1.6,0.207021
114.74,0.2711,2.26,1.6,0.204743
118.63,0.2725,2.253,1.6,0.202843
120.54,0.2725,2.248,1.57,0.199625
128.66,0.2725,2.254,1.57,0.178676
125.02,0.2746,2.254,1.57,0.188827
115.89,0.2947,2.275,1.6,0.064973
121.04,0.2887,2.275,1.6,0.086056
130.97,0.2103,2.275,1.57,0.222505
130.14,0.2024,2.269,1.59,0.230512
127.49,0.2066,2.269,1.6,0.212896
127.49,0.2482,2.291,1.62,0.193937
127.48,0.2516,2.291,1.67,0.189382
127.48,0.2433,2.293,1.67,0.196877
107.77,0.2425,2.293,1.62,0.19766
107.77,0.2426,2.294,1.64,0.196407
113.56,0.2412,2.295,1.69,0.196606
113.56,0.2277,2.295,1.71,0.206045
122.88,0.2294,2.27,1.73,0.169484
122.88,0.2608,2.27,1.73,0.184468
140.27,0.2679,2.27,1.7,0.128474
141.17,0.2387,2.237,1.7,0.106747
143.69,0.2368,2.237,1.76,0.085993
125.53,0.2478,2.234,1.76,0.089899
114.73,0.2461,2.23,1.76,0.198601
111.25,0.219,2.23,1.54,0.172244
110.15,0.2152,2.158,1.54,0.215786
105.91,0.2042,2.158,1.26,0.210181
107.35,0.2042,2.134,1.26,0.20414
110.07,0.2162,2.119,1.22,0.194532
110.07,0.2273,2.095,1.19,0.210345
90.38,0.2339,2.085,1.14,0.265301
90.38,0.2879,2.09,1.1,0.302442
90.38,0.2876,2.09,1.1,0.302667
103.13,0.2313,2.09,1.01,0.268082
103.13,0.2277,2.084,1.01,0.249669
90.39,0.2489,2.062,0.98,0.279754
90.39,0.2478,2.059,0.98,0.285035
83.46,0.2158,2.084,0.93,0.287607
83.46,0.2152,2.084,0.93,0.272039
77.65,0.2424,2.097,0.93,0.292257
77.65,0.2537,2.097,0.93,0.300805
77.65,0.2753,2.097,0.93,0.305437
70.71,0.2614,2.091,0.94,0.302339
70.71,0.2563,2.091,0.95,0.304263
70.71,0.264,2.079,0.95,0.310812
73.03,0.2653,2.074,0.92,0.314659
73.03,0.2697,2.079,0.92,0.308779
73.03,0.2674,2.085,0.89,0.305316
91.57,0.2664,2.078,0.89,0.295106
91.57,0.2737,2.058,0.9,0.308891
90.19,0.2623,2.058,0.9,0.297894
85.34,0.2438,2.046,0.9,0.305003
73.99,0.2575,2.046,0.87,0.313882
74.48,0.2687,2.038,0.86,0.329606
84.6,0.254,2.038,0.84,0.307051
84.6,0.2651,2.039,0.84,0.316293
70.7,0.2851,2.04,0.83,0.335369
72.45,0.268,2.045,0.83,0.324945
77.65,0.2557,2.048,0.83,0.314195
89.13,0.2603,2.053,0.83,0.306989
98.5,0.2647,2.053,0.84,0.271571
98.5,0.2897,2.07,0.86,0.269028
83.44,0.2887,2.07,0.86,0.305592
83.44,0.2533,2.072,0.86,0.293151
81.13,0.2496,2.072,0.87,0.295687
81.13,0.2491,2.075,0.88,0.292935
81.13,0.2578,2.075,0.9,0.303603
85.75,0.2837,2.075,0.92,0.303412
85.75,0.2762,2.05,0.94,0.313862
83.44,0.2712,2.05,0.95,0.316917
83.44,0.3181,2.056,0.95,0.335221
82.01,0.3316,2.056,0.95,0.324991
81.13,0.2706,2.082,0.95,0.305281
83.47,0.2736,2.089,0.92,0.297423
85.76,0.2882,2.06,0.92,0.314955
85.76,0.2671,2.06,0.92,0.31105
82.26,0.2526,2.084,0.91,0.298484
82.26,0.2237,2.084,0.92,0.283816
79.96,0.2377,2.083,0.93,0.291779
79.96,0.2548,2.079,0.93,0.30118
86.91,0.2326,2.077,0.93,0.283541
86.21,0.2279,2.071,0.93,0.292131
83.42,0.2405,2.07,0.91,0.301601
79.44,0.2493,2.041,0.91,0.305414
73.02,0.2655,2.041,0.9,0.327771
73.67,0.2591,2.043,0.9,0.328282
75.34,0.253,2.057,0.9,0.306184
75.34,0.2666,2.062,0.89,0.310223
90.4,0.2514,2.073,0.89,0.292779
90.4,0.2428,2.076,0.9,0.275173
86.94,0.2409,2.085,0.91,0.288629
86.94,0.2399,2.082,0.93,0.291384
86.94,0.2405,2.08,0.91,0.293279
